report,technique_id,technique_name,score,flagged,instances,sections,best_evidence
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1110.003,Password Spraying,100,1,10,Hide Your RDP: Password Spray Leads to RansomHub Deployment | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Direct RDP access | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,password spray
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1133,External Remote Services,100,1,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > MITRE ATT&CK,installed via RDP on two backup servers
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1218,,100,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1218.007,Msiexec,100,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Computed,setup.msi
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1490,Inhibit System Recovery,100,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Defense Evasion,delete shadow copy
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1563.002,RDP Hijacking,100,0,3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Direct RDP access,used RDP to move laterally
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1685,,100,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1685.005,Clear Windows Event Logs,100,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Defense Evasion,clear Windows logs
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1003,OS Credential Dumping,95,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Credential Access,Mimikatz was used to capture various sensitive information
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1016,System Network Configuration Discovery,90,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,network interface configuration
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1115,Clipboard Data,90,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop,ClipboardChange
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1486,Data Encrypted for Impact,90,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Impact,left impacted files encrypted
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1567,,90,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1567.002,Exfiltration to Cloud Storage,90,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration,data exfiltrated to the remote server
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1016.001,Internet Connection Discovery,80,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,Test connectivity and resolve internal hostnames
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021.002,SMB/Windows Admin Shares,80,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,spread over SMB
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1049,System Network Connections Discovery,80,1,3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Sigma,execution of the NetScan tool
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1071,,80,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1071.002,File Transfer Protocols,80,0,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Lateral Movement > SMB,exfiltrate files over SFTP
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1071.004,DNS,80,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Network,Splashtop Domain in DNS Lookup
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1078,Valid Accounts,80,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,credential harvesting
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1482,Domain Trust Discovery,80,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,Discover domain trust relationships
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1564.006,Run Virtual Instance,80,1,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Impact,VirtualBox-hosted environment
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1210,Exploitation of Remote Services,70,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,executed using remote services
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1070,,60,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1070.004,File Deletion,60,1,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,delete shadow
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1190,Exploit Public-Facing Application,50,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,internet-facing RDP server
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1554,Compromise Host Software Binary,50,0,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Yara,BINARYALERT_Hacktool_Windows_Mimikatz_Copywrite
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1564,,50,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1036,,20,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1036.010,Masquerade Account Name,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Command and Control > Atera and Splashtop,disp name johnattan
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1087,,20,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1087.002,Domain Account,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > MITRE ATT&CK,Domain Account
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1134,Access Token Manipulation,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Initial Access,Elevated Token: Yes
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1518,,20,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1518.001,Security Software Discovery,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,downloaded the Advanced IP Scanner
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1546,Event Triggered Execution,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Persistence,setting up services
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1552,Unsecured Credentials,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Yara,DITEKSHEN_INDICATOR_RMM_Atera_CERT
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1557,,20,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1557.001,Name Resolution Poisoning and SMB Relay,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Discovery,making DNS requests
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1563,Remote Service Session Hijacking,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Persistence,deployed Atera
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1564.004,NTFS File Attributes,20,1,2,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB | Hide Your RDP: Password Spray Leads to RansomHub Deployment > Exfiltration > 2.03 GB > Sigma,NTFS artifacts
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1590,,20,0,0,,
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1590.005,IP Addresses,20,1,1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Initial Access,accessing the _Initial Access Use_
