Report,Change,Type,Detail
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,TI063001 -> T1069.001,Wrong technique id,"""Local Groups"" - TI063001 is not T1069.001; correct entry is T1069.001 Local Groups"
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,TI063002 -> T1069.002,Wrong technique id,"""Domain Groups"" - TI063002 is not T1069.002; correct entry is T1069.002 Domain Groups"
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,TI21801 -> T1218.011,Wrong technique id,"""Rundll32"" - TI21801 is not T1218.011; correct entry is T1218.011 Rundll32"
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,TIOTI001 -> T1071.001,Wrong technique id,"""Web Protocols"" - TIOTI001 is not T1071.001; correct entry is T1071.001 Web Protocols"
Cat's Got Your Files - Lynx Ransomware,T102100 -> T1021.001,Wrong technique id,"""Remote Desktop Protocol"" - T102100 is not T1021.001; correct entry is T1021.001 Remote Desktop Protocol"
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,T1565 -> T1555,Wrong technique id,"""Credentials from Password Stores"" - T1565 is not T1555; correct entry is T1555 Credentials from Password Stores"
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,TI02700 -> T1027.010,Wrong technique id,"""Command Obfuscation"" - TI02700 is not T1027.010; correct entry is T1027.010 Command Obfuscation"
Fake Zoom Ends in Blacksuit Ransomware,T1134.003 -> T1134,Wrong specificity,Sheet had T1134.003 Make and Impersonate Token; the report lists T1134 Access Token Manipulation. Kept the report's id.
Cat's Got Your Files - Lynx Ransomware,T1078.002 -> T1078,Wrong specificity,Sheet had T1078.002 Domain Accounts; the report lists T1078 Valid Accounts. Kept the report's id.
Cat's Got Your Files - Lynx Ransomware,T1219.002 -> T1219,Wrong specificity,Sheet had T1219.002 Remote Desktop Software; the report lists T1219 Remote Access Tools. Kept the report's id.
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,T1136.002 -> T1136,Wrong specificity,Sheet had T1136.002 Domain Account; the report lists T1136 Create Account. Kept the report's id.
Fake Zoom Ends in Blacksuit Ransomware,T1021.002,Missing from sheet,T1021.002 SMB/Windows Admin Shares is in the report's ATT&CK list but was absent from the sheet - added.
Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,T1136,Missing from sheet,T1136 Create Account is in the report's ATT&CK list but was absent from the sheet - added.
Hide Your RDP: Password Spray Leads to RansomHub Deployment,T1046,Missing from sheet,T1046 Network Service Discovery is in the report's ATT&CK list but was absent from the sheet - added.
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1027,Missing from sheet,T1027 Obfuscated Files or Information is in the report's ATT&CK list but was absent from the sheet - added.
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1136,Missing from sheet,T1136 Create Account is in the report's ATT&CK list but was absent from the sheet - added.
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1543.003,Missing from sheet,T1543.003 Windows Service is in the report's ATT&CK list but was absent from the sheet - added.
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,T1036,Missing from sheet,T1036 Masquerading is in the report's ATT&CK list but was absent from the sheet - added.
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,T1048,Missing from sheet,T1048 Exfiltration Over Alternative Protocol is in the report's ATT&CK list but was absent from the sheet - added.
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,T1059.003,Missing from sheet,T1059.003 Windows Command Shell is in the report's ATT&CK list but was absent from the sheet - added.
Confluence Exploit Leads to LockBit Ransomware,T1078.003,"In sheet, not in report list","T1078.003 Local Accounts is not in the report's own ATT&CK list - kept, but verify."
Fake Zoom Ends in Blacksuit Ransomware,T1055,"In sheet, not in report list","T1055 Process Injection is not in the report's own ATT&CK list - kept, but verify."
Fake Zoom Ends in Blacksuit Ransomware,T1087.002,"In sheet, not in report list","T1087.002 Domain Account is not in the report's own ATT&CK list - kept, but verify."
Fake Zoom Ends in Blacksuit Ransomware,T1548,"In sheet, not in report list","T1548 Abuse Elevation Control Mechanism is not in the report's own ATT&CK list - kept, but verify."
Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,T1021.002,"In sheet, not in report list","T1021.002 SMB/Windows Admin Shares is not in the report's own ATT&CK list - kept, but verify."
Hide Your RDP: Password Spray Leads to RansomHub Deployment,T1021.002,"In sheet, not in report list","T1021.002 SMB/Windows Admin Shares is not in the report's own ATT&CK list - kept, but verify."
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1033,"In sheet, not in report list","T1033 System Owner/User Discovery is not in the report's own ATT&CK list - kept, but verify."
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,T1055,"In sheet, not in report list","T1055 Process Injection is not in the report's own ATT&CK list - kept, but verify."
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,T1020,"In sheet, not in report list","T1020 Automated Exfiltration is not in the report's own ATT&CK list - kept, but verify."
Cat's Got Your Files - Lynx Ransomware,T1057,"In sheet, not in report list","T1057 Process Discovery is not in the report's own ATT&CK list - kept, but verify."
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,T1016,"In sheet, not in report list","T1016 System Network Configuration Discovery is not in the report's own ATT&CK list - kept, but verify."
Confluence Exploit Leads to LockBit Ransomware,14 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: TI003.001->T1003.001, TI033->T1033, TI046->T1046, TI057->T1057, TI059.001->T1059.001, TI059.003->T1059.003, TI072->T1072, TI218.005->T1218.005, TI219->T1219, TI543.003->T1543.003, TI552.001->T1552.001, TI567.002->T1567.002, TII36->T1136, TT190->T1190"
Fake Zoom Ends in Blacksuit Ransomware,18 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: TI003.001->T1003.001, TI021.001->T1021.001, TI033->T1033, TI047->T1047, TI059.001->T1059.001, TI059.003->T1059.003, TI069.001->T1069.001, TI071.001->T1071.001, TI082->T1082, TI087.001->T1087.001, TI218.010->T1218.010, TI490->T1490, TI547.001->T1547.001, TI560.001->T1560.001, TI569.002->T1569.002, TII35->T1135, TII89->T1189, TISI8.001->T1518.001"
Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,5 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: T1T12->T1112, TI059001->T1059.001, TI059003->T1059.003, TT134002->T1134.002, TT190->T1190"
Hide Your RDP: Password Spray Leads to RansomHub Deployment,8 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: TI003.001->T1003.001, TI003.006->T1003.006, TI059003->T1059.003, TI059005->T1059.005, TI069001->T1069.001, TI069002->T1069.002, TI087002->T1087.002, TTT10003->T1110.003"
Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,3 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: 71087002->T1087.002, TI003.006->T1003.006, TT136001->T1136.001"
From a Single Click: How Lunar Spider Enabled a Near Two-Month Intrusion,17 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: T1S60001->T1560.001, TI021001->T1021.001, TI027016->T1027.016, TI033->T1033, TI048003->T1048.003, TI053005->T1053.005, TI059001->T1059.001, TI059003->T1059.003, TI059007->T1059.007, TI070004->T1070.004, TI078002->T1078.002, TI083->T1083, TI087001->T1087.001, TI087002->T1087.002, TIS55003->T1555.003, TIS70->T1570, TISI8001->T1518.001"
Apache ActiveMQ Exploit Leads to LockBit Ransomware,5 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: TI003001->T1003.001, TI059001->T1059.001, TI059003->T1059.003, TI087001->T1087.001, TT190->T1190"
From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,14 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: TI003.001->T1003.001, TI003003->T1003.003, TI021001->T1021.001, TI021003->T1021.003, TI069001->T1069.001, TI082->T1082, TI087002->T1087.002, TI0S9001->T1059.001, TI568002->T1568.002, TIO70004->T1070.004, TIO7L001->T1071.001, TIOB7001->T1087.001, TIS43003->T1543.003, TIs74001->T1574.001"
Part 1 BengalSEO,6 ids retyped,OCR transcription,"Letter/digit confusion only (I read as 1, O as 0, S as 5, missing dot); the technique itself was right: TI027014->T1027.014, TI036008->T1036.008, TI059001->T1059.001, TI059007->T1059.007, TI071001->T1071.001, TI583006->T1583.006"
