technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1037,Boot or Logon Initialization Scripts,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary,1,Startup folder,,
T1021,Remote Services,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1048,Exfiltration Over Alternative Protocol,corpus-common (6/10),6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Collection | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Exfiltration,3,exfiltrating the staged files,,
T1608.001,Upload Malware,judge-flagged,7,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Command and Control > Betruger | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Defense Evasion | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,4,written to %AppData%\Local\Temp,,
T1136.001,Local Account,report-specific (3/10),3,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Privilege Escalation,1,created a new local user,,
T1588.003,Code Signing Certificates,report-specific (1/10),1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Execution,2,code signing,,
T1548,Abuse Elevation Control Mechanism,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1592,Gather Victim Host Information,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1055,Process Injection,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1557,Adversary-in-the-Middle,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1556,Modify Authentication Process,promoted-parent,1,,0,(parent promoted from mapped sub-techniques),,
T1218,System Binary Proxy Execution,promoted-parent,9,,0,(parent promoted from mapped sub-techniques),,
T1105,Ingress Tool Transfer,judge-flagged,6,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Case Summary | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Collection | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Detections > Sigma | Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Key Takeaways,4,_FS64.exe_,,
T1556.005,Reversible Encryption,judge-flagged,1,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Credential Access,1,credential dumping,,
T1071.004,DNS,report-specific (4/10),4,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs > Discovery,3,"1,271 internal DNS A requests",,
