technique_id,technique_name,class,n_reports,sections,instances,evidence,verdict (correct/incorrect/unsure),notes
T1218.011,Rundll32,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK,6,rundll32.exe,,
T1222,File and Directory Permissions Modification,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,icacls C:,,
T1027.013,Encrypted/Encoded File,judge-flagged,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK,2,XOR operations,,
T1021,Remote Services,judge-flagged,9,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,2,Remote Service,,
T1037,Boot or Logon Initialization Scripts,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1048,Exfiltration Over Alternative Protocol,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Exfiltration,1,FTP traffic shows,,
T1222.001,Windows Permissions,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,icacls C:,,
T1016.001,Internet Connection Discovery,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,2,Likely Connectivity,,
T1590.002,DNS,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,dnscmd /zoneprint domain.local,,
T1078.002,Domain Accounts,report-specific (3/10),3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary,2,plaintext domain administrator,,
T1102.002,Bidirectional Communication,judge-flagged,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Command and Control | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,4,hxxps://cloudmeri.com/comm[.]php,,
T1070.004,File Deletion,judge-flagged,6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Defense Evasion,3,deleted more than half,,
T1027,Obfuscated Files or Information,corpus-common (7/10),7,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Initial Access,3,heavily obfuscated,,
T1036.012,Browser Fingerprint,detection-sourced,3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,1,Mozilla/5.0 (Windows NT 6.2; WOW64),,
T1569,System Services,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1059.001,PowerShell,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Privilege Escalation,2,multiple PowerShell instances were executed,,
T1003.001,LSASS Memory,judge-flagged,7,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,2,LSASS access,,
T1071,Application Layer Protocol,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1548.002,Bypass User Account Control,report-specific (3/10),3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Privilege Escalation,2,elevate uac-token-duplication,,
T1055.001,Dynamic-link Library Injection,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,3,execute the DLL,,
T1078,Valid Accounts,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1027.010,Command Obfuscation,report-specific (4/10),4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,1,variable-length encoding,,
T1482,Domain Trust Discovery,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,4,nltest /domain_trusts,,
T1127.002,ClickOnce,detection-sourced,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections,1,CobaltStrike Named,,
T1041,Exfiltration Over C2 Channel,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,1,exfiltrated using Rclone,,
T1033,System Owner/User Discovery,report-specific (5/10),5,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK,1,System Owner/User Discovery,,
T1021.001,Remote Desktop Protocol,judge-flagged,9,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,5,using RDP to access,,
T1016,System Network Configuration Discovery,promoted-parent,3,,0,(parent promoted from mapped sub-techniques),,
T1592.004,Client Configurations,detection-sourced,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,1,&desklinks=[,,
T1069.002,Domain Groups,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,"net group ""Domain Admins""",,
T1552,Unsecured Credentials,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1132,Data Encoding,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,1,switch to UTF-8 encoding,,
T1053.005,Scheduled Task,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Persistence,2,create a scheduled task,,
T1027.015,Compression,report-specific (4/10),4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,compress the collected data,,
T1036,Masquerading,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1071.004,DNS,judge-flagged,4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,2,DNS data export,,
T1018,Remote System Discovery,report-specific (4/10),4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,net view REDACTED,,
T1057,Process Discovery,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,2,systeminfo,,
T1548,Abuse Elevation Control Mechanism,report-specific (5/10),5,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Privilege Escalation,1,UAC token duplication,,
T1059.007,JavaScript,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Initial Access | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK,2,JavaScript,,
T1518,Software Discovery,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1119,Automated Collection,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access,1,base64-encoding,,
T1583.003,Virtual Private Server,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement,1,VPS2DAY,,
T1202,Indirect Command Execution,report-specific (4/10),4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,2,executes the payload,,
T1070,Indicator Removal,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1102,Web Service,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,1,JSON response,,
T1047,Windows Management Instrumentation,corpus-common (6/10),6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Lateral Movement | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > MITRE ATT&CK,3,WMI Remoting,,
T1547,Boot or Logon Autostart Execution,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1518.002,Backup Software Discovery,report-specific (5/10),5,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access,1,backup systems,,
T1189,Drive-by Compromise,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,2,disguised as a tax form,,
T1590,Gather Victim Network Information,promoted-parent,5,,0,(parent promoted from mapped sub-techniques),,
T1218.003,CMSTP,detection-sourced,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections,2,d5601f8c-b26f-4ab0-9035-69e11a8d4ad2 : CobaltStrike Named Pipe,,
T1087.002,Domain Account,report-specific (3/10),3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,net user REDACTED /domain,,
T1480.001,Environmental Keying,detection-sourced,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators,1,Encryption Key: MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCGcLYJG9miEP3Lp+FqQ74n9HNbqI/,,
T1574.001,DLL,report-specific (5/10),5,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Command and Control | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Diamond Model Indicators | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,3,upfilles.dll,,
T1595,Active Scanning,promoted-parent,6,,0,(parent promoted from mapped sub-techniques),,
T1134,Access Token Manipulation,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1134.004,Parent PID Spoofing,detection-sourced,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections,2,d522eca2-2973-4391-a3e0-ef0374321dae : Abused Debug Privilege by Arbitrary Parent,,
T1068,Exploitation for Privilege Escalation,judge-flagged,3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Privilege Escalation,1,Privilege escalation,,
T1204.002,Malicious File,report-specific (4/10),4,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Key Takeaways,1,deployed across the intrusion,,
T1539,Steal Web Session Cookie,judge-flagged,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Credential Access,2,extracted email credentials,,
T1140,Deobfuscate/Decode Files or Information,report-specific (3/10),3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Initial Access,1,////,,
T1087,Account Discovery,promoted-parent,4,,0,(parent promoted from mapped sub-techniques),,
T1053,Scheduled Task/Job,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,1,create a scheduled task,,
T1105,Ingress Tool Transfer,judge-flagged,6,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Exfiltration,2,dropped a data,,
T1134.002,Create Process with Token,report-specific (1/10),1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,1,RUNAS execution to create a new process”,,
T1104,Multi-Stage Channels,judge-flagged,3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,2,deployed a custom .NET backdoor,,
T1003,OS Credential Dumping,promoted-parent,8,,0,(parent promoted from mapped sub-techniques),,
T1595.001,Scanning IP Blocks,judge-flagged,2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,2,scanning various /16 and /8,,
T1547.001,Registry Run Keys / Startup Folder,report-specific (2/10),2,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Persistence,1,Registry Run Key,,
T1021.005,VNC,judge-flagged,1,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Case Summary | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Detections | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery | From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Execution,6,initiated VNC-based,,
T1592,Gather Victim Host Information,promoted-parent,2,,0,(parent promoted from mapped sub-techniques),,
T1518.001,Security Software Discovery,report-specific (3/10),3,From a Single Click: How Lunar Spider Enabled a Near Two- Month Intrusion > Discovery,1,wmic.exe /node:localhost,,
T1059,Command and Scripting Interpreter,promoted-parent,10,,0,(parent promoted from mapped sub-techniques),,
